,title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,original_language,origin_country,production_budget_raw,production_budget_adj,runtime,primary_genre,genres_list,mpaa_rating,format_premium,spoiler_risk,wiki_hype,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,sequel_parent_revenue_adj,franchise_hunger,distributor,opening_theaters,calendar_ratio,bom_intl_lifetime,bom_ww_lifetime,target_dom_7day,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7
1677,Mumford,24071,tt0140397,1999-09-24,9,4,en,US,,,112,Comedy,Comedy|Drama|Romance,R,1.0,0.0,,8844.0,Lawrence Kasdan,8844.0,Lawrence Kasdan,11628|15250|11662,Loren Dean|Hope Davis|Jason Lee,0,,,,Touchstone Pictures,,,,4555459.0,,4555459.0,,,,,,,,,,,,,,,,,,,,,
1678,Inferno,10908,tt0139151,1999-09-25,9,5,en,US,15000000.0,29207683.07322929,95,Action,Action|Drama|Romance,R,1.0,0.0,,16513.0,John G. Avildsen,4697.0,Samuel Hadida,15111|23915|11160,Jean-Claude Van Damme|Pat Morita|Danny Trejo,0,,,,KPI Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Three Kings,6415,tt0120188,1999-09-27,9,0,en,US,75000000.0,146038415.36614645,114,Action,Action|Comedy|War,R,1.0,1.0,,17883.0,David O. Russell,282.0,Charles Roven,1461|13240|9778,George Clooney|Mark Wahlberg|Ice Cube,0,,,,Village Roadshow Pictures,2942.0,1.885557666382141,47100000.0,107752036.0,2955922.0,60652036.0,501358.0,2942.0,5.0,548329.0,2942.0,5.0,553495.0,2942.0,5.0,511574.0,2942.0,5.0,278178.0,2411.0,7.0,296565.0,2411.0,9.0,266423.0,2411.0,9.0
1680,"Mystery, Alaska",15198,tt0134618,1999-10-01,10,4,en,CA,28000000.0,54521008.40336134,119,Drama,Drama|Comedy,R,1.0,1.0,,6737.0,Jay Roach,53299.0,Howard Baldwin,934|5587|1980,Russell Crowe|Hank Azaria|Mary McCormack,0,,,,Baldwin/Cohen Productions,1673.0,0.2475534320104098,,8891623.0,4088639.0,8891623.0,966000.0,1673.0,4.0,1297000.0,1673.0,4.0,811000.0,1673.0,4.0,244766.0,1673.0,4.0,289204.0,1673.0,4.0,240825.0,1673.0,4.0,239844.0,1673.0,4.0
1681,Drive Me Crazy,14429,tt0164114,1999-10-01,10,4,en,US,8000000.0,15577430.972388957,91,Romance,Romance|Comedy|Drama,PG-13,1.0,0.0,,79656.0,John Schultz,2556.0,Amy Robinson,78501|5090|40980,Melissa Joan Hart|Adrian Grenier|Susan May Pratt,0,,,,Grand March Productions,2088.0,0.5755238683804834,4748072.0,22593409.0,526210.0,17845337.0,99488.0,2088.0,11.0,102847.0,2088.0,11.0,95402.0,2088.0,11.0,123149.0,2088.0,11.0,33287.0,1062.0,19.0,40013.0,1062.0,17.0,32024.0,1062.0,19.0
1682,Animal Farm,815,tt0204824,1999-10-03,10,6,en,US,23000000.0,44785114.04561824,91,Drama,Drama|Comedy,Unrated,1.0,0.0,,1387618.0,John Stephenson,15873.0,Greg Smith,7090|65|15886,Kelsey Grammer|Ian Holm|Julia Louis-Dreyfus,0,,,,Animal Farm Productions Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Dogma,1832,tt0120655,1999-10-04,10,0,en,US,10000000.0,19471788.715486195,130,Fantasy,Fantasy|Comedy|Adventure,R,1.0,0.0,,19303.0,Kevin Smith,20503.0,Scott Mosier,880|1892|9625,Ben Affleck|Matt Damon|Linda Fiorentino,0,,,,View Askew Productions,1269.0,3.588945487409112,813426.0,33660121.0,11266448.0,32846695.0,3035000.0,1269.0,3.0,3305000.0,1269.0,3.0,2259000.0,1269.0,3.0,720008.0,1269.0,3.0,770706.0,1269.0,3.0,640756.0,1269.0,3.0,535978.0,1269.0,3.0
1684,Scooby-Doo! and the Witch's Ghost,17681,tt0196931,1999-10-05,10,1,en,US,,,70,Comedy,Comedy|Mystery|Family|Fantasy|Animation,Unrated,1.0,1.0,,88623.0,Jim Stenstrum,1208521.0,Cosmo Anzilotti,58272|30695|15831,Scott Innes|Mary Kay Bergman|Frank Welker,0,,,,Hanna-Barbera Cartoons,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,An American Tail: The Mystery of the Night Monster,27653,tt0197230,1999-10-06,10,2,en,US,,,78,Adventure,Adventure|Fantasy|Animation|Mystery|Family,Unrated,1.0,0.0,,108097.0,Larry Latham,108097.0,Larry Latham,34199|22082|193140,Thomas Dekker|Lacey Chabert|Jane Singer,1,5.6,,1.6,Universal Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Ghost Dog: The Way of the Samurai,4816,tt0165798,1999-10-06,10,2,en,FR,2000000.0,3894357.743097239,116,Crime,Crime|Drama,R,1.0,0.0,,4429.0,Jim Jarmusch,4429.0,Jim Jarmusch,2178|28002|19183,Forest Whitaker|John Tormey|Cliff Gorman,0,,,,JVC,,,6118133.0,9429879.0,,3308029.0,,,,,,,,,,,,,,,,,,,,,
1687,Random Hearts,12618,tt0156934,1999-10-08,10,4,en,US,64000000.0,124619447.77911164,133,Drama,Drama|Romance|Thriller,R,1.0,0.0,,2226.0,Sydney Pollack,2226.0,Sydney Pollack,3|5470|17764,Harrison Ford|Kristin Scott Thomas|Charles S. Dutton,0,,,,Columbia Pictures,2697.0,0.2272880405142189,43105987.0,74608570.0,16724656.0,31502583.0,4070000.0,2697.0,1.0,5335000.0,2697.0,2.0,3430000.0,2697.0,2.0,1328095.0,2697.0,2.0,941105.0,2697.0,2.0,842229.0,2697.0,2.0,778227.0,2697.0,2.0
1688,The Limey,10388,tt0165854,1999-10-08,10,4,en,US,10000000.0,19471788.715486195,89,Crime,Crime|Drama|Thriller|Mystery,R,1.0,0.0,,1884.0,Steven Soderbergh,6341.0,John Hardy,28641|21818|40481,Terence Stamp|Lesley Ann Warren|Luis Guzmán,0,,,,Artisan Entertainment,100.0,0.9985173933299686,121073.0,3325736.0,240195.0,3204663.0,34113.0,96.0,17.0,36293.0,96.0,18.0,32622.0,96.0,17.0,36057.0,96.0,19.0,28677.0,100.0,17.0,37986.0,100.0,16.0,34447.0,100.0,16.0
1689,Superstar,13824,tt0167427,1999-10-08,10,4,en,US,14000000.0,27260504.20168067,82,Comedy,Comedy,PG-13,1.0,0.0,,73499.0,Bruce McCulloch,56158.0,Lorne Michaels,28640|23659|55422,Molly Shannon|Will Ferrell|Elaine Hendrix,0,,,,SNL Studios,1943.0,0.1732246191417606,,30636478.0,10585078.0,30636478.0,2719000.0,1943.0,3.0,3442000.0,1943.0,4.0,2438000.0,1943.0,4.0,886091.0,1943.0,4.0,380282.0,1943.0,5.0,333062.0,1943.0,5.0,386643.0,1943.0,5.0
1690,Warlock III: The End of Innocence,26042,tt0157171,1999-10-12,10,1,en,US,2000000.0,3894357.743097239,94,Fantasy,Fantasy|Horror,R,1.0,0.0,,132559.0,Eric Freiser,,Unknown,27422|56551|91607,Bruce Payne|Ashley Laurence|Paul Francis,1,5.4,8761446.834602075,6.4,Trimark Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,The Story of Us,12220,tt0160916,1999-10-14,10,3,en,US,50000000.0,97358943.57743096,96,Drama,Drama|Comedy|Romance,R,1.0,0.0,,3026.0,Rob Reiner,16853.0,Jessie Nelson,62|1160|3026,Bruce Willis|Michelle Pfeiffer|Rob Reiner,0,,,,Castle Rock Entertainment,2164.0,0.5485238601454795,31800000.0,58900031.0,12410460.0,27100031.0,3165000.0,2164.0,2.0,4138000.0,2164.0,3.0,2370000.0,2164.0,3.0,660020.0,2164.0,3.0,746580.0,2164.0,3.0,692480.0,2164.0,3.0,638380.0,2164.0,3.0
1692,The Straight Story,404,tt0166896,1999-10-15,10,4,en,US,10000000.0,19471788.715486195,112,Drama,Drama|Family,Unrated,1.0,0.0,,5602.0,David Lynch,5625.0,Neal Edelstein,5605|5606|5607,Richard Farnsworth|Sissy Spacek|Jane Galloway Heitz,0,,,,Les Films Alain Sarde,186.0,1.16968450835632,245930.0,6454772.0,252395.0,6203044.0,30679.0,96.0,16.0,35459.0,96.0,18.0,32470.0,96.0,17.0,32726.0,96.0,16.0,38409.0,186.0,19.0,38107.0,186.0,19.0,44545.0,186.0,21.0
1693,Fight Club,550,tt0137523,1999-10-15,10,4,en,US,63000000.0,122672268.90756302,139,Drama,Drama|Thriller,R,1.0,1.0,,7467.0,David Fincher,1254.0,Art Linson,819|287|1283,Edward Norton|Brad Pitt|Helena Bonham Carter,0,,,,Fox 2000 Pictures,1963.0,0.3058431664411367,64285678.0,101321009.0,15605362.0,37030102.0,3785000.0,1963.0,1.0,4150000.0,1963.0,2.0,3150000.0,1963.0,1.0,1133726.0,1963.0,1.0,1232636.0,1963.0,1.0,1121764.0,1963.0,1.0,1032236.0,1963.0,1.0
1694,Julien Donkey-Boy,42881,tt0192194,1999-10-15,10,4,en,US,1300000.0,2531332.533013205,100,Drama,Drama,R,1.0,0.0,,51918.0,Harmony Korine,4899.0,Scott Macaulay,1125|2838|6818,Ewen Bremner|Chloë Sevigny|Werner Herzog,0,,,,391 Productions,,,7042.0,92442.0,,85400.0,,,,,,,,,,,,,,,,,,,,,
1695,Three to Tango,10563,tt0144640,1999-10-22,10,4,en,US,20000000.0,38943577.43097239,98,Comedy,Comedy|Romance,PG-13,1.0,0.0,,66039.0,Damon Santostefano,20908.0,Jeffrey Silver,14408|9206|32597,Matthew Perry|Neve Campbell|Dylan McDermott,0,,,,Warner Bros. Pictures,2234.0,0.193067627118644,,10570375.0,5564099.0,10570375.0,1520000.0,2234.0,5.0,1850000.0,2234.0,6.0,1055000.0,2234.0,5.0,263964.0,2234.0,8.0,339255.0,2234.0,7.0,268099.0,2234.0,8.0,267781.0,2234.0,9.0
1696,Bats,10496,tt0200469,1999-10-22,10,4,en,US,5250000.0,10222689.075630251,91,Horror,Horror|Thriller|Science Fiction,PG-13,1.0,0.0,,65420.0,Louis Morneau,56327.0,Louise Rosner-Meyer,38560|2133|4029,Lou Diamond Phillips|Dina Meyer|Bob Gunton,0,,,,Destination Films,2540.0,2.3494500994110163,,10155690.0,3092871.0,10155690.0,261008.0,2540.0,9.0,265178.0,2540.0,10.0,222222.0,2540.0,10.0,223463.0,2540.0,10.0,650000.0,2540.0,12.0,890000.0,2540.0,12.0,581000.0,2540.0,10.0
1697,Bringing Out the Dead,8649,tt0163988,1999-10-22,10,4,en,US,32000000.0,62309723.88955582,121,Drama,Drama,R,1.0,0.0,,1032.0,Martin Scorsese,7170.0,Barbara De Fina,2963|4687|1230,Nicolas Cage|Patricia Arquette|John Goodman,0,,,,Scott Rudin Productions,1947.0,2.058432922508871,1305.0,16798496.0,5306021.0,16797191.0,502234.0,1936.0,3.0,493386.0,1936.0,4.0,421368.0,1936.0,4.0,440033.0,1936.0,4.0,1085000.0,1947.0,7.0,1500000.0,1947.0,6.0,864000.0,1947.0,7.0
1698,The Best Man,16162,tt0168501,1999-10-22,10,4,en,US,9000000.0,17524609.843937576,120,Drama,Drama|Comedy,R,1.0,0.0,,72024.0,Malcolm D. Lee,23420.0,Bill Carraro,17637|9779|9781,Taye Diggs|Morris Chestnut|Nia Long,0,,,,Universal Pictures,1348.0,2.542432081829839,471000.0,34573780.0,8832410.0,34102780.0,746995.0,1346.0,1.0,659540.0,1346.0,2.0,605445.0,1346.0,1.0,612430.0,1346.0,1.0,1770000.0,1346.0,2.0,2820000.0,1346.0,2.0,1618000.0,1348.0,2.0
1699,Crazy in Alabama,31306,tt0142201,1999-10-22,10,4,en,US,,,111,Comedy,Comedy|Drama,PG-13,1.0,0.0,,3131.0,Antonio Banderas,68802.0,Meir Teper,29369|52|155,Melanie Griffith|David Morse|Lucas Black,0,,,,Green Moon Productions,1214.0,0.2250078624005032,,2005840.0,347225.0,2005840.0,86037.0,1214.0,15.0,94491.0,1214.0,14.0,86566.0,1214.0,15.0,80131.0,1214.0,15.0,,,,,,,,,
1700,The Messenger: The Story of Joan of Arc,10047,tt0151137,1999-10-27,10,2,en,FR,85000000.0,165510204.08163264,158,Adventure,Adventure|Drama|Action|History|War,R,1.0,0.0,,59.0,Luc Besson,60.0,Patrice Ledoux,63|6949|6450,Milla Jovovich|John Malkovich|Faye Dunaway,0,,,,Gaumont,2147.0,1.7258112634345444,52700000.0,66976317.0,9062311.0,14276317.0,2990000.0,2147.0,4.0,2475000.0,2147.0,4.0,1698000.0,2147.0,4.0,492802.0,2147.0,4.0,554453.0,2147.0,4.0,447200.0,2147.0,4.0,404856.0,2147.0,4.0
1701,The Insider,9008,tt0140352,1999-10-28,10,3,en,US,90000000.0,175246098.43937573,158,Drama,Drama|Thriller,R,1.0,1.0,,638.0,Michael Mann,639.0,Pieter Jan Brugge,1158|934|290,Al Pacino|Russell Crowe|Christopher Plummer,0,,,,Touchstone Pictures,1809.0,0.5856452134299484,31200000.0,60289912.0,8952073.0,29089912.0,2002000.0,1809.0,4.0,2947000.0,1809.0,4.0,1628000.0,1809.0,4.0,451825.0,1809.0,3.0,544523.0,1809.0,2.0,580097.0,1809.0,5.0,798628.0,1809.0,5.0
1702,Music of the Heart,26149,tt0166943,1999-10-29,10,4,en,US,27000000.0,52573829.53181272,124,Drama,Drama|Music,PG,1.0,0.0,,5140.0,Wes Craven,1011476.0,Susan Kaplan,5064|9599|1453102,Meryl Streep|Cloris Leachman|Henry Dinhofer,0,,,,Craven-Maddalena Films,1349.0,0.2557080971659919,77013.0,14936407.0,4968198.0,14859394.0,1115000.0,1349.0,6.0,1680000.0,1349.0,5.0,910000.0,1349.0,4.0,288474.0,1349.0,7.0,367227.0,1349.0,6.0,307715.0,1349.0,6.0,299782.0,1349.0,7.0
1703,Terror Firmer,14005,tt0169299,1999-10-29,10,4,en,US,500000.0,973589.4357743096,114,Comedy,Comedy|Horror,R,1.0,0.0,,78021.0,Lloyd Kaufman,78021.0,Lloyd Kaufman,92993|98311|98310,Trent Haaga|Alyce LaTourelle|Will Keenan,0,,,,Troma Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,House on Haunted Hill,11377,tt0185371,1999-10-29,10,4,en,US,37000000.0,72045618.24729891,93,Horror,Horror,R,1.0,0.0,,57898.0,William Malone,1091.0,Joel Silver,118|10696|17303,Geoffrey Rush|Famke Janssen|Ali Larter,0,,,,Dark Castle Entertainment,2710.0,0.2035630606611881,1747373.0,42593455.0,20267665.0,40846082.0,5420000.0,2710.0,1.0,6120000.0,2710.0,1.0,4401000.0,2710.0,1.0,1225574.0,2710.0,1.0,1248982.0,2710.0,1.0,939794.0,2710.0,1.0,912315.0,2710.0,1.0
1705,Being John Malkovich,492,tt0120601,1999-10-29,10,4,en,US,13000000.0,25313325.33013205,113,Comedy,Comedy|Drama|Fantasy,R,1.0,1.0,,5953.0,Spike Jonze,322.0,Steve Golin,3036|6941|6949,John Cusack|Cameron Diaz|John Malkovich,0,,,,Propaganda Films,175.0,1.7086655401385151,243399.0,23107123.0,1239669.0,22863596.0,192000.0,25.0,17.0,89571.0,25.0,15.0,96582.0,25.0,15.0,89944.0,25.0,14.0,91915.0,25.0,15.0,515000.0,175.0,11.0,164657.0,175.0,11.0
1706,Toy Story 2,863,tt0120363,1999-10-30,10,5,en,US,90000000.0,175246098.43937573,92,Animation,Animation|Comedy|Family,Unrated,1.0,1.0,,7879.0,John Lasseter,12911.0,Helene Plotkin,31|12898|3234,Tom Hanks|Tim Allen|Joan Cusack,1,8.3,489467368.1942256,3.9,Pixar,3236.0,0.5481040949561302,251523225.0,497375404.0,23093123.0,245852179.0,88664.0,1.0,17.0,110716.0,1.0,17.0,100783.0,1.0,20.0,43753.0,1.0,18.0,35262.0,1.0,19.0,9570911.0,3236.0,1.0,13143034.0,3236.0,1.0
1707,Mickey's Once Upon a Christmas,15400,tt0238414,1999-10-31,10,6,en,US,,,66,Animation,Animation|Family|Comedy,Unrated,1.0,0.0,,387816.0,Bill Speers,,Unknown,7090|78076|6035,Kelsey Grammer|Wayne Allwine|Russi Taylor,0,,,,Disney Television Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Tower of Terror,43274,tt0131620,1999-11-01,11,0,en,US,,,89,Comedy,Comedy|Family|Horror,Unrated,1.0,0.0,,1226762.0,D.J. MacHale,64723.0,Iain Paterson,26472|205|19456,Steve Guttenberg|Kirsten Dunst|Nia Peeples,0,,,,Zaloom Mayfield Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,The Bone Collector,9481,tt0145681,1999-11-04,11,3,en,US,73000000.0,142144057.6230492,118,Drama,Drama|Mystery|Thriller|Crime,R,1.0,1.0,,13015.0,Phillip Noyce,57652.0,Louis A. Stroller,5292|11701|15758,Denzel Washington|Angelina Jolie|Queen Latifah,0,,,,Universal Pictures,2587.0,0.6222208127209993,84975000.0,151493655.0,23509445.0,66518655.0,5490000.0,2587.0,1.0,7236000.0,2587.0,1.0,4281000.0,2587.0,1.0,1332305.0,2587.0,1.0,1500460.0,2587.0,1.0,1655680.0,2587.0,2.0,2014000.0,2587.0,2.0
1710,The Bachelor,2020,tt0120596,1999-11-05,11,4,en,US,51000000.0,99306122.4489796,101,Comedy,Comedy|Romance,PG-13,1.0,0.0,,20779.0,Gary Sinyor,20783.0,Bing Howenstein,5577|9137|20788,Chris O'Donnell|Renée Zellweger|Artie Lange,0,,,,George Street Pictures,2522.0,0.2473610136178576,15151377.0,36911617.0,9472270.0,21760240.0,2463000.0,2522.0,2.0,3025000.0,2522.0,3.0,1635000.0,2522.0,3.0,363934.0,2522.0,4.0,433657.0,2522.0,4.0,668763.0,2522.0,4.0,882916.0,2522.0,3.0
1711,American Movie,14242,tt0181288,1999-11-05,11,4,en,US,,,107,Documentary,Documentary|Comedy,R,1.0,0.0,,31654.0,Chris Smith,31654.0,Chris Smith,87794|84924|545831,Mark Borchardt|Mike Schank|Tom Schimmels,0,,,,Civilian Pictures,,,897.0,1166692.0,,1165795.0,,,,,,,,,,,,,,,,,,,,,
1712,Annie,26177,tt0207972,1999-11-07,11,6,en,US,7500000.0,14603841.536614643,90,Music,Music|Family|Comedy,Unrated,1.0,0.0,,17633.0,Rob Marshall,51702.0,Brad Krevoy,936846|8534|8536,Alicia Morton|Kathy Bates|Victor Garber,0,,,,Storyline Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Passport to Paris,54004,tt0202521,1999-11-09,11,1,en,US,,,87,Comedy,Comedy|Family,Unrated,1.0,0.0,,69801.0,Alan Metter,1314122.0,Neil Steinberg,67849|67848|161908,Mary-Kate Olsen|Ashley Olsen|Peter White,0,,,,Hollyridge Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,Mansfield Park,10399,tt0178737,1999-11-12,11,4,en,GB,11000000.0,21418967.58703481,112,Romance,Romance|Drama,PG-13,1.0,0.0,,55439.0,Patricia Rozema,53358.0,Sarah Curtis,1518|9012|4941,Frances O'Connor|Jonny Lee Miller|Alessandro Nivola,0,,,,HAL Films,,,,4775847.0,,4775847.0,,,,,,,,,,,,,,,,,,,,,
1715,Ratcatcher,29698,tt0171685,1999-11-12,11,4,en,GB,,,94,Drama,Drama,Unrated,1.0,1.0,,83287.0,Lynne Ramsay,135033.0,Gavin Emerson,110950|2478|110953,William Eadie|Tommy Flanagan|Mandy Matthews,0,,,,Pathé,,,14172.0,232280.0,,217244.0,,,,,,,,,,,,,,,,,,,,,
1716,Anywhere but Here,21349,tt0149691,1999-11-12,11,4,en,US,23000000.0,44785114.04561824,114,Drama,Drama|Comedy|Romance,PG-13,1.0,0.0,,39819.0,Wayne Wang,10685.0,Laurence Mark,4038|524|7678,Susan Sarandon|Natalie Portman|Hart Bochner,0,,,,Fox 2000 Pictures,1672.0,0.1720288084195504,4961528.0,23631929.0,6891858.0,18670401.0,1900000.0,1672.0,5.0,2385000.0,1672.0,5.0,1321000.0,1672.0,5.0,298886.0,1672.0,6.0,377501.0,1672.0,6.0,312478.0,1672.0,6.0,296993.0,1672.0,6.0
1717,The World Is Not Enough,36643,tt0143145,1999-11-17,11,2,en,GB,135000000.0,262869147.6590636,128,Adventure,Adventure|Action|Thriller,PG-13,1.0,2.0,,10781.0,Michael Apted,69678.0,Michael G. Wilson,517|1957|18023,Pierce Brosnan|Sophie Marceau|Robert Carlyle,1,6.5,253262972.8,1.9,EON Productions,3163.0,1.341457082027937,234888716.0,361832400.0,41082115.0,126943684.0,12130000.0,3163.0,1.0,14220000.0,3163.0,1.0,8767000.0,3163.0,1.0,2601907.0,3163.0,1.0,3363208.0,3163.0,1.0,,,,,,
1718,Sleepy Hollow,2668,tt0162661,1999-11-19,11,4,en,US,100000000.0,194717887.154862,105,Fantasy,Fantasy|Thriller|Mystery|Horror,R,1.0,0.0,,510.0,Tim Burton,11303.0,Adam Schroeder,85|6886|8436,Johnny Depp|Christina Ricci|Miranda Richardson,0,,,,Paramount Pictures,3064.0,0.3319944552828832,105000000.0,206071526.0,42150176.0,101071502.0,10048000.0,3064.0,2.0,11975000.0,3064.0,2.0,7194000.0,3064.0,2.0,2086512.0,3064.0,2.0,2586664.0,3064.0,2.0,3449000.0,3064.0,2.0,4811000.0,3064.0,2.0
1719,End of Days,9946,tt0146675,1999-11-24,11,2,en,US,100000000.0,194717887.154862,122,Action,Action|Horror|Fantasy,R,1.0,0.0,,37710.0,Peter Hyams,41587.0,Armyan Bernstein,1100|5168|17346,Arnold Schwarzenegger|Gabriel Byrne|Robin Tunney,0,,,,Beacon Communications,,,145100000.0,211989043.0,,66889043.0,,,,,,,,,,,,,,,,,,,,,
1720,Ride with the Devil,22267,tt0134154,1999-11-24,11,2,en,US,35000000.0,68151260.50420168,138,Drama,Drama|War|Romance|Western,R,1.0,1.0,,1614.0,Ang Lee,1617.0,James Schamus,22108|2219|51860,Skeet Ulrich|Tobey Maguire|Jewel,0,,,,Good Machine,,,,635096.0,,635096.0,,,,,,,,,,,,,,,,,,,,,
1721,Flawless,31582,tt0155711,1999-11-26,11,4,en,US,15000000.0,29207683.07322929,112,Comedy,Comedy|Drama|Crime,R,1.0,0.0,,5572.0,Joel Schumacher,5572.0,Joel Schumacher,380|1233|62014,Robert De Niro|Philip Seymour Hoffman|Barry Miller,0,,,,Metro-Goldwyn-Mayer,,,,4488529.0,,4488529.0,,,,,,,,,,,,,,,,,,,,,
1722,The End of the Affair,20024,tt0172396,1999-12-03,12,4,en,US,23000000.0,44785114.04561824,102,Romance,Romance|Drama,R,1.0,0.0,,17016.0,Neil Jordan,9021.0,Stephen Woolley,5469|1231|9029,Ralph Fiennes|Julianne Moore|Stephen Rea,0,,,,Columbia Pictures,,,,10827816.0,,10827816.0,,,,,,,,,,,,,,,,,,,,,
1723,"Happy, Texas",24066,tt0162360,1999-12-03,12,4,en,US,1700000.0,3310204.081632653,98,Comedy,Comedy|Crime,PG-13,1.0,1.0,,942084.0,Mark Illsley,942084.0,Mark Illsley,18325|18324|3905,Jeremy Northam|Steve Zahn|William H. Macy,0,,,,Marked Entertainment,134.0,,,1955933.0,99884.0,1955933.0,32699.0,134.0,20.0,34395.0,134.0,20.0,32790.0,134.0,20.0,,,,,,,,,,,,
1724,Guest House Paradiso,10482,tt0202381,1999-12-03,12,4,en,GB,,,86,Comedy,Comedy,R,1.0,0.0,,98464.0,Adrian Edmondson,65515.0,Phil McIntyre,14469|98464|2440,Rik Mayall|Adrian Edmondson|Bill Nighy,0,,,,Universal Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Sweet and Lowdown,9684,tt0158371,1999-12-03,12,4,en,US,29750000.0,57928571.42857143,95,Comedy,Comedy|Drama|Music,PG-13,1.0,0.0,,1243.0,Woody Allen,27562.0,Jean Doumanian,2228|2206|57829,Sean Penn|Samantha Morton|Anthony LaPaglia,0,,,,Sweetland Films,,,328779.0,4525794.0,,4197015.0,,,,,,,,,,,,,,,,,,,,,
1726,A Christmas Carol,16716,tt0216621,1999-12-05,12,6,en,US,,,97,Drama,Drama|Fantasy,Unrated,1.0,1.0,,78514.0,David Hugh Jones,24661.0,Dyson Lovell,2387|20766|6748,Patrick Stewart|Richard E. Grant|Joel Grey,0,,,,Hallmark Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,The Green Mile,497,tt0120689,1999-12-10,12,4,en,US,60000000.0,116830732.29291716,189,Fantasy,Fantasy|Drama|Crime,R,1.0,0.0,,4027.0,Frank Darabont,3718.0,David Valdes,31|52|5149,Tom Hanks|David Morse|Bonnie Hunt,0,,,,Castle Rock Entertainment,2875.0,0.2463292499162853,150000000.0,286801374.0,23802970.0,136801374.0,5749000.0,2875.0,1.0,7621000.0,2875.0,2.0,4548000.0,2875.0,2.0,1460627.0,2875.0,1.0,1567610.0,2875.0,1.0,1453873.0,2875.0,1.0,1402860.0,2875.0,1.0
1728,Deuce Bigalow: Male Gigolo,10402,tt0205000,1999-12-10,12,4,en,US,17000000.0,33102040.81632653,88,Comedy,Comedy|Romance,R,1.0,0.0,,64151.0,Mike Mitchell,20820.0,Sidney Ganis,60949|4520|62842,Rob Schneider|William Forsythe|Eddie Griffin,0,,,,Quinta Communications,,,27400000.0,92938755.0,,65538755.0,,,,,,,,,,,,,,,,,,,,,
1729,Switching Goals,36251,tt0217074,1999-12-12,12,6,en,US,,,85,Family,Family|TV Movie,Unrated,1.0,1.0,,15452.0,David Steinberg,583070.0,Susan Murdoch,67849|67848|162747,Mary-Kate Olsen|Ashley Olsen|Kathryn Greenwood,0,,,,Dualstar Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Topsy-Turvy,46435,tt0151568,1999-12-15,12,2,en,GB,10500000.0,20445378.151260503,160,Comedy,Comedy|Drama|Music|History,R,1.0,0.0,,65452.0,Mike Leigh,20423.0,Simon Channing Williams,388|78018|9191,Jim Broadbent|Allan Corduner|Timothy Spall,0,,,,Thin Man Films,,,1595891.0,7804439.0,,6208548.0,,,,,,,,,,,,,,,,,,,,,
1731,Anna and the King,1439,tt0166485,1999-12-16,12,3,en,US,75000000.0,146038415.36614645,148,Drama,Drama|Romance|History,PG-13,1.0,0.0,,17167.0,Andy Tennant,2545.0,Lawrence Bender,1038|1619|39126,Jodie Foster|Chow Yun-Fat|Bai Ling,0,,,,Fox 2000 Pictures,2132.0,0.7357882990721584,74733517.0,113996937.0,8705301.0,39263420.0,1551000.0,2132.0,5.0,2122000.0,2132.0,5.0,1543000.0,2132.0,5.0,729284.0,2132.0,5.0,887865.0,2132.0,5.0,840152.0,2132.0,7.0,1032000.0,2132.0,7.0
1732,Magnolia,334,tt0175880,1999-12-17,12,4,en,US,37000000.0,72045618.24729891,189,Drama,Drama,R,1.0,1.5,,4762.0,Paul Thomas Anderson,4770.0,JoAnne Sellar,500|4492|1233,Tom Cruise|Philip Baker Hall|Philip Seymour Hoffman,0,,,,New Line Cinema,1034.0,0.2245600283738251,25995877.0,48453591.0,7327392.0,22455976.0,1716000.0,1034.0,6.0,2417000.0,1034.0,7.0,1506000.0,1034.0,7.0,439142.0,1034.0,6.0,474684.0,1034.0,5.0,405481.0,1034.0,7.0,369085.0,1034.0,7.0
